"time","country","l"
2024,DOM,11244.708397727
2024,DZA,46658.1925033419
2024,ECU,18515.7123719067
2024,EGY,109782.571249295
2024,ERI,3799.83246874757
2024,ESP,46612.5800957431
2024,EST,1310.59978773057
2024,ETH,126647.456042141
2024,FIN,5563.78680658775
2024,FJI,923.171522639765
2024,FRA,65894.4505850355
2024,GAB,2432.92607084775
2024,GBR,68993.8620094588
2024,GEO,3941.1930408021
2024,GHA,33714.1116817527
2024,GIN,14609.4389454125
2024,GMB,2703.40404259716
2024,GNB,2158.84245769488
2024,GNQ,1587.43139541632
2024,GRC,10207.7941936938
2024,GTM,19236.7513193293
2024,GUY,801.237716796528
2024,HKG,7703.12273562072
2024,HND,10529.8280631246
2024,HRV,4016.07323076709
2024,HTI,11948.1256238632
2024,HUN,9543.35635146493
2024,IDN,284323.649646904
2024,IND,1.4317696916974e6
2024,IRL,5074.52120487578
2024,IRN,87797.1143545284
2024,IRQ,44147.5463439946
2024,ISL,349.171148667412
2024,ISR,9182.32720361106
2024,ITA,59993.152995189
2024,JAM,3004.41192077723
2024,JOR,10312.3590479785
2024,JPN,124472.089966811
2024,KAZ,19581.273342581
2024,KEN,58684.4303831508
2024,KGZ,6909.89220491358
2024,KHM,17582.7360934037
2024,KOR,51325.3313156309
2024,KWT,4467.28306895828
2024,LAO,7672.06755863409
2024,LBN,6480.67948281257
2024,LBR,5559.22142760709
2024,LBY,7186.64062967441
2024,LCA,186.25472349812
2024,LKA,21705.8981567022
2024,LSO,2210.2372182593
2024,LTU,2616.96055854218
2024,LUX,653.936001389125
2024,LVA,1815.81616988996
2024,MAC,684.746317516597
2024,MAR,38580.6038666663
2024,MDA,3986.12788453885
2024,MDG,30706.103736039
2024,MDV,525.755892240793
2024,MEX,133989.252458558
2024,MKD,2075.71887526637
2024,MLI,22745.5869257928
2024,MLT,446.050851631086
2024,MMR,56098.2378620988
2024,MNE,627.330693528641
2024,MNG,3465.4667580957
2024,MOZ,34984.7365305682
2024,MRT,5155.98398010408
2024,MUS,1275.66310915535
2024,MWI,21282.5045179854
2024,MYS,33943.6480733469
2024,NAM,2725.88968044363
2024,NER,28067.6292280072
2024,NGA,227629.359418323
2024,NIC,6929.57980807965
2024,NLD,17282.4736111378
2024,NOR,5604.36086011333
2024,NPL,31215.1077306802
2024,NZL,4969.05124170153
2024,OMN,5476.438641961
2024,PAK,237806.813077585
2024,PAN,4569.49922771264
2024,PER,34202.6793916644
2024,PHL,115345.247594277
2024,PNG,9637.2080476249
2024,POL,37580.8433144193
2024,PRT,10087.5276798732
2024,PRY,7470.72401642875
2024,PSE,5589.31626047608
2024,PYF,287.389390464593
2024,QAT,3072.02251085792
2024,ROU,18864.9557028728
2024,RUS,145292.724463639
2024,RWA,14236.4949124149
2024,SAU,36748.6525886328
2024,SDN,48199.9597070102
2024,SEN,18574.2248836179
2024,SGP,6032.3740555719
2024,SLB,755.282006631021
2024,SLE,8633.43763046226
2024,SLV,6611.28730566093
2024,SRB,8551.17454897197
2024,STP,236.916704750229
2024,SUR,606.19791452098
2024,SVK,5451.61112245838
2024,SVN,2074.23867481563
2024,SWE,10327.0800458337
2024,SWZ,1210.71244289561
2024,SYR,21823.686454093
2024,TCD,18424.085546272
2024,TGO,9092.68952239026
2024,THA,70222.8214890341
2024,TJK,10349.5957913696
2024,TKM,6354.17871831736
2024,TLS,1419.93713734243
2024,TON,109.565857826293
2024,TUN,12239.2669279423
2024,TUR,86226.7390445339
2024,TWN,23935.4044313222
2024,TZA,66987.2592848494
2024,UGA,50912.5099422468
2024,UKR,42614.016115542
2024,URY,3515.54984632127
2024,USA,338499.109340477
2024,UZB,35177.2328290667
2024,VCT,112.000153334094
2024,VNM,100341.689598523
2024,VUT,336.526851319109
2024,WSM,207.093406409444
2024,YEM,32449.2039778337
2024,ZAF,62087.7924871537
2024,ZMB,20601.740919162
2024,ZWE,15852.8649849016
2025,ABW,108.75
2025,AFG,43531.523
2025,AGO,38478.222
2025,ALB,2840.468
2025,ARE,10323.858
2025,ARG,47192.095
2025,ARM,2977.276
2025,AUS,26879.753
2025,AUT,9104.435
2025,AZE,10495.689
2025,BDI,13763.925
2025,BEL,11757.494
2025,BEN,13822.065
2025,BFA,23995.149
2025,BGD,172399.074
2025,BGR,6686.471
2025,BHR,1865.087
2025,BHS,410.933
2025,BIH,3211.963
2025,BLR,9385.441
2025,BLZ,433.725
2025,BOL,12468.481
2025,BRA,219020.908
2025,BRB,288.801
2025,BRN,456.182
2025,BTN,810.544
2025,BWA,2567.78
2025,CAF,5338.265
2025,CAN,39326.964
2025,CHE,8936.934
2025,CHL,19240.995
2025,CHN,1.457908248e6
2025,CIV,29888.17
2025,CMR,30031.677
2025,COD,104133.554
2025,COG,6234.721
2025,COL,52007.05
2025,COM,965.002
2025,CPV,584.315
2025,CRI,5302.111
2025,CUB,11257.038
2025,CYP,1244.674
2025,CZE,10756.704
2025,DEU,83515.017
2025,DJI,1056.058
2025,DNK,5900.496
2025,DOM,11346.157
2025,DZA,47387.621
2025,ECU,18740.538
2025,EGY,111727.822
2025,ERI,3865.964
2025,ESP,46577.097
2025,EST,1306.645
2025,ETH,129749.447
2025,FIN,5569.569
2025,FJI,929.977
2025,FRA,66050.606
2025,GAB,2487.672
2025,GBR,69273.64
2025,GEO,3929.288
2025,GHA,34408.762
2025,GIN,15003.848
2025,GMB,2780.255
2025,GNB,2209.378
2025,GNQ,1637.214
2025,GRC,10154.677
2025,GTM,19581.999
2025,GUY,804.95
2025,HKG,7755.536
2025,HND,10692.205
2025,HRV,3994.079
2025,HTI,12088.555
2025,HUN,9514.33
2025,IDN,287089.641
2025,IND,1.44501162e6
2025,IRL,5109.29
2025,IRN,88774.777
2025,IRQ,45187.253
2025,ISL,351.18
2025,ISR,9318.959
2025,ITA,59876.553
2025,JAM,3015.323
2025,JOR,10339.846
2025,JPN,123975.981
2025,KAZ,19787.745
2025,KEN,59981.315
2025,KGZ,7009.829
2025,KHM,17805.562
2025,KOR,51339.378
2025,KWT,4517.863
2025,LAO,7774.527
2025,LBN,6397.245
2025,LBR,5692.194
2025,LBY,7267.715
2025,LCA,186.917
2025,LKA,21779.683
2025,LSO,2227.568
2025,LTU,2591.271
2025,LUX,661.119
2025,LVA,1798.634
2025,MAC,693.895
2025,MAR,39009.791
2025,MDA,3974.258
2025,MDG,31509.837
2025,MDV,522.123
2025,MEX,135284.064
2025,MKD,2073.808
2025,MLI,23415.892
2025,MLT,447.186
